agrostation_name|field_name|zone_name|province_name|ae_group|ae_type|area
Уварово|1|Южно-таежно-лесная зона|Среднерусская провинция|5|5.2. Дерново-подзолистые глееватые супесчаные|11.752
Уварово|2|Южно-таежно-лесная зона|Среднерусская провинция|5|5.2. Дерново-подзолистые глееватые супесчаные|43.359
Уварово|3|Южно-таежно-лесная зона|Среднерусская провинция|9|9.1. Дерново-подзолистые песчаные почвы|16.285
Уварово|4|Южно-таежно-лесная зона|Среднерусская провинция|1|1.7. Дерново-подзолистые супесчаные, подстилаемые суглинками|20.941
Уварово|5|Южно-таежно-лесная зона|Среднерусская провинция|1|1.7. Дерново-подзолистые супесчаные, подстилаемые суглинками|4.363
Уварово|6|Южно-таежно-лесная зона|Среднерусская провинция|9|9.1. Дерново-подзолистые песчаные почвы|2.038
Уварово|7|Южно-таежно-лесная зона|Среднерусская провинция|6|6.2. Дерново-глеевые почвы.|16.191
Уварово|8|Южно-таежно-лесная зона|Среднерусская провинция|6|6.2. Дерново-глеевые почвы.|4.393
Уварово|9|Южно-таежно-лесная зона|Среднерусская провинция|7|7.3. Дерново-перегнойно-торфянисто-подзолистые глееватые и глеевые тяжелосуглинистые и глинистые почвы.|3.42
